Order Date;Channel;Store;Country;Continent;Colour;Product;Product Subcategory;Product Category;Quantity;Unit Cost;Unit Price
39253;Online;Contoso Europe Online Store;Germany;Europe;Silver;Contoso 512MB MP3 Player E51 Silver;MP4&MP3;Audio;5;6,62;12,99
39413;Online;Contoso Europe Online Store;Germany;Europe;Silver;Contoso 512MB MP3 Player E51 Silver;MP4&MP3;Audio;4;6,62;12,99
39341;Online;Contoso Asia Online Store;China;Asia;Silver;Contoso 512MB MP3 Player E51 Silver;MP4&MP3;Audio;15;6,62;12,99
39982;Store;Contoso Westminster Store;Canada;North America;Silver;Contoso 512MB MP3 Player E51 Silver;MP4&MP3;Audio;20;6,62;12,99
39612;Online;Contoso Europe Online Store;Germany;Europe;Silver;Contoso 512MB MP3 Player E51 Silver;MP4&MP3;Audio;10;6,62;12,99
39623;Store;Contoso Roma Store;Italy    ;Europe;Blue;Contoso 512MB MP3 Player E51 Blue;MP4&MP3;Audio;10;6,62;12,99
39966;Reseller;Contoso Europe Reseller;France;Europe;Blue;Contoso 512MB MP3 Player E51 Blue;MP4&MP3;Audio;40;6,62;12,99
39564;Store;Contoso Plano Store;United States;North America;Blue;Contoso 512MB MP3 Player E51 Blue;MP4&MP3;Audio;10;6,62;12,99
39928;Store;Contoso Sebring Store;United States;North America;Blue;Contoso 512MB MP3 Player E51 Blue;MP4&MP3;Audio;20;6,62;12,99
39411;Store;Contoso Sedalia Store;United States;North America;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;6;7,4;14,52
39701;Store;Contoso Cambridge Store;United Kingdom;Europe;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;12;7,4;14,52
39425;Store;Contoso Newark No.2 Store;United States;North America;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;6;7,4;14,52
40142;Store;Contoso Denver No.3 Store;United States;North America;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;26;7,4;14,52
39324;Store;Contoso Ashgabat No.1 Store;Turkmenistan;Asia;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;5;7,4;14,52
39223;Store;Contoso Queen Anne's County Store;United States;North America;White;Contoso 1G MP3 Player E100 White;MP4&MP3;Audio;5;7,4;14,52
39214;Store;Contoso Fort Atkinson Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;5;11;21,57
39460;Store;Contoso Russellville Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;9;11;21,57
40054;Store;Contoso Boulder Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;24;11;21,57
39506;Reseller;Contoso North America Reseller;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;18;11;21,57
39827;Online;Contoso North America Online Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;18;11;21,57
39491;Online;Contoso North America Online Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;18;11;21,57
39977;Catalog;Contoso Catalog Store;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;20;11;21,57
